NAME,POSITION,GP,MPG,ORPM,DRPM,RPM,WINS
Rodney Hood, SG,59,27,-0.26,-0.51,-0.77,2.23
Salah Mejri, C,73,12.4,-2.71,3.66,0.95,2.23
Jeremy Lin, PG,36,24.5,0.48,-0.03,0.45,2.21
Will Barton, SG,60,28.4,0.05,-1.2,-1.15,2.2
Marco Belinelli, SG,74,24,0.67,-1.87,-1.2,2.15
Brandon Jennings, PG,81,22.2,0.25,-1.5,-1.25,2.15
Mike Muscala, PF,70,17.7,-0.02,-0.36,-0.38,2.11
Matt Barnes, SF,74,24,-1.18,-0.09,-1.27,2.07
JaVale McGee, C,77,9.6,0.83,0.11,0.94,2.04
Rodney McGruder, SG,78,25.2,-0.58,-0.9,-1.48,2.04
Richaun Holmes, PF,57,20.9,-0.32,-0.18,-0.5,2.01
Corey Brewer, SG,82,15.6,-1.75,1,-0.75,1.99
Jonathon Simmons, SG,78,17.8,-2.03,1.12,-0.91,1.94
Anthony Tolliver, PF,65,22.7,-0.07,-0.97,-1.04,1.93
Jamal Murray, G,82,21.5,0.06,-1.57,-1.51,1.86
Zach Randolph, PF,73,24.5,-0.37,-1.05,-1.42,1.83
Julius Randle, PF,74,28.8,-0.79,-1.03,-1.82,1.83
Tarik Black, C,67,16.3,-2.5,1.96,-0.54,1.81
Jason Smith, PF,74,14.4,-1.08,0.54,-0.54,1.75
Alan Williams, PF,47,15.1,-0.94,1.49,0.55,1.75
Dario Saric, SF,81,26.3,-1.25,-0.62,-1.87,1.74
Derrick Favors, PF,50,23.7,-2.76,2.06,-0.7,1.73
Willie Cauley-Stein, C,75,18.9,-2.07,0.9,-1.17,1.72
D'Angelo Russell, PG,63,28.7,0.75,-2.45,-1.7,1.69
Terry Rozier, PG,74,17.1,-1.05,-0.01,-1.06,1.65
Davis Bertans, SF,67,12.1,0.07,-0.01,0.06,1.64
Sam Dekker, SF,77,18.4,0.05,-1.42,-1.37,1.64
Jonas Jerebko, PF,78,15.8,-0.89,-0.14,-1.03,1.63
Norman Powell, SG,76,18,-0.24,-1.01,-1.25,1.63
Austin Rivers, PG,74,27.8,-0.17,-1.73,-1.9,1.62
Dwight Powell, PF,77,17.3,-0.66,-0.51,-1.17,1.58
Josh Richardson, SG,53,30.5,-1.63,0.06,-1.57,1.57
Matthew Dellavedova, PG,76,26.1,-0.88,-1.01,-1.89,1.54
Caris LeVert, SG,57,21.7,-0.46,-0.84,-1.3,1.53
Richard Jefferson, SF,79,20.4,-1.16,-0.48,-1.64,1.51
Rajon Rondo, PG,69,26.7,-1.35,-0.49,-1.84,1.51
E'Twaun Moore, SG,73,24.9,-0.24,-1.58,-1.82,1.5
Montrezl Harrell, PF,58,18.3,-0.39,-0.6,-0.99,1.5
Meyers Leonard, PF,74,16.5,-1.5,0.26,-1.24,1.48
Langston Galloway, SG,74,20.2,0.1,-1.65,-1.55,1.46
Ian Mahinmi, C,31,17.9,-2.22,3.11,0.89,1.44
Tony Parker, PG,63,25.2,-0.69,-0.97,-1.66,1.42
Tyus Jones, PG,60,12.9,0.11,-0.34,-0.23,1.4
Andrew Harrison, PG,72,20.5,-1.2,-0.38,-1.58,1.38
JR Smith, SG,41,29,-0.32,-0.98,-1.3,1.37
TJ Warren, SF,66,31,0.3,-2.44,-2.14,1.34
Joakim Noah, C,46,22.1,-2.23,1.17,-1.06,1.32
Jeremy Lamb, SG,62,18.4,0.04,-1.32,-1.28,1.31
Willie Reed, PF,71,14.5,-2.42,1.25,-1.17,1.28
Cristiano Felicio, PF,66,15.8,-1.55,0.39,-1.16,1.28
Kenneth Faried, PF,61,21.2,-0.07,-1.55,-1.62,1.27
Roy Hibbert, C,48,14.2,-2.48,2.08,-0.4,1.21
Andrew Bogut, C,27,21.6,-4.01,4.34,0.33,1.2
Taurean Prince, SF,59,16.6,-3.7,2.47,-1.23,1.2
Derrick Rose, PG,64,32.5,0.11,-2.36,-2.25,1.17
Mirza Teletovic, PF,70,16.2,-1.05,-0.44,-1.49,1.16
Domantas Sabonis, PF,81,20.1,-3.9,1.86,-2.04,1.14
Avery Bradley, PG,55,33.4,-0.44,-1.72,-2.16,1.13
Timothe Luwawu-Cabarrot, SG,69,17.2,-2.27,0.57,-1.7,1.11
Glenn Robinson III, SG,69,20.7,-1.25,-0.67,-1.92,1.1
Dennis Schroder, PG,79,31.5,0.31,-2.76,-2.45,1.07
John Henson, PF,58,19.4,-3.42,1.79,-1.63,1.05
Cole Aldrich, C,62,8.6,-1.82,1.83,0.01,1.04
Wesley Johnson, SF,68,11.9,-3.79,2.62,-1.17,1.01
Darrell Arthur, PF,41,15.6,-0.91,0.2,-0.71,0.99
Al Jefferson, C,66,14.1,-1,-0.45,-1.45,0.98
Beno Udrih, PG,39,14.4,-0.39,0.13,-0.26,0.98
Tomas Satoransky, SG,57,12.6,-2.1,1.08,-1.02,0.93
Raymond Felton, PG,80,21.3,-1.4,-0.88,-2.28,0.92
Dorian Finney-Smith, F,81,20.3,-1.92,-0.3,-2.22,0.9
Juan Hernangomez, PF,62,13.6,-0.85,-0.69,-1.54,0.88
Cory Joseph, PG,80,25,-0.5,-1.94,-2.44,0.86
Justin Hamilton, C,64,18.4,-1.64,-0.42,-2.06,0.84
Terrence Jones, PF,54,23.5,-1.38,-0.72,-2.1,0.84
Boban Marjanovic, C,35,8.4,-0.24,1.66,1.42,0.82
Derrick Jones Jr., SF,32,17,-1.06,0.18,-0.88,0.82
Tyreke Evans, SG,40,19.7,-1.52,0.02,-1.5,0.81
Sean Kilpatrick, SG,70,25.1,-0.07,-2.36,-2.43,0.81
Alex Len, C,77,20.3,-3.62,1.28,-2.34,0.81
J.J. Barea, PG,35,22,0.15,-1.57,-1.42,0.8
Reggie Bullock, SF,31,15.1,-0.98,0.57,-0.41,0.79
Nik Stauskas, SG,80,27.4,-0.32,-2.25,-2.57,0.78
Michael Carter-Williams, PG,45,18.8,-2.82,1.12,-1.7,0.77
Delon Wright, PG,27,16.5,-1.28,0.98,-0.3,0.77
Troy Daniels, SG,67,17.7,-0.02,-2.1,-2.12,0.72
Jakob Poeltl, C,54,11.6,-2.36,1.09,-1.27,0.72
Mindaugas Kuzminskas, F,68,14.9,-0.8,-1.2,-2,0.72
Brandan Wright, PF,28,16,-0.86,0.4,-0.46,0.71
Kelly Oubre Jr., SF,79,20.3,-1.67,-0.76,-2.43,0.71
Jodie Meeks, SG,36,20.5,-0.05,-1.6,-1.65,0.7
Tim Frazier, PG,65,23.5,-0.73,-1.67,-2.4,0.7
Thon Maker, PF,57,9.9,-1.23,0.17,-1.06,0.7
Alex Abrines, SG,68,15.5,0.13,-2.25,-2.12,0.69
Allen Crabbe, SG,79,28.5,0.22,-2.87,-2.65,0.68
Omer Asik, C,31,15.5,-2.97,1.94,-1.03,0.65
Denzel Valentine, SG,57,17.1,-2.21,0.13,-2.08,0.64
Bismack Biyombo, C,81,22.1,-3.33,0.77,-2.56,0.63
Stanley Johnson, SF,77,17.8,-2.34,-0.04,-2.38,0.63
Kevon Looney, SF,53,8.4,-2.03,1.05,-0.98,0.63
Luis Scola, PF,36,12.8,-0.8,-0.29,-1.09,0.62
Alexis Ajinca, C,39,15,-3.17,1.64,-1.53,0.6
Jeff Withey, C,51,8.5,-1.5,0.57,-0.93,0.58
Kris Humphries, PF,56,12.3,-2.3,0.41,-1.89,0.54
Raul Neto, PG,40,8.7,-1.43,0.92,-0.51,0.53
Shabazz Napier, PG,53,9.7,-0.12,-1.39,-1.51,0.51
Mike Dunleavy, SG,53,15.9,-2.26,0.05,-2.21,0.49
Tyler Ennis, PG,53,11.1,-1.36,-0.51,-1.87,0.49
Michael Beasley, SF,56,16.7,-1.7,-0.61,-2.31,0.48
Shawn Long, PF,18,13,-0.31,0.3,-0.01,0.47
David Nwaba, PG,20,19.9,-1.89,0.59,-1.3,0.47
Anthony Morrow, SG,49,14.6,-0.66,-1.46,-2.12,0.46
Skal Labissiere, F,33,18.5,-1.93,-0.04,-1.97,0.45
Bobby Portis, PF,64,15.6,-1.94,-0.5,-2.44,0.43
Kyle Korver, SG,67,26.2,-0.15,-2.61,-2.76,0.41
Paul Pierce, SF,25,11.1,-2.04,1.24,-0.8,0.4
Joffrey Lauvergne, C,70,14,-1.22,-1.27,-2.49,0.39
