title,productionCompanies,distributors,releaseDate
The Bounce Back,Freestyle Releasing,Viva Pictures Distribution,2/26/16
Zootopia,"Walt Disney Animation Studios,Walt Disney Pictures",Walt Disney,3/4/16
Whiskey Tango Foxtrot,"Paramount,Broadway Video,Little Stranger",Paramount Pictures,3/4/16
The Other Side of the Door,"Pindrop,Kriti Productions,Fugitive Studios,HireWorks,Lipsync Post",20th Century Fox,3/4/16
London Has Fallen,"LHF Film,Gerard Butler Alan Siegel Entertainment,Nu Boyana Film Studios,Millennium Films",Focus Features,3/4/16
Creative Control,"Mathematic,Ghost Robot,Greencard Pictures",Magnolia Pictures,3/11/16
Hyena Road,"Whizbang Films,Rhombus Media,International Traders,Buffalo Gal Pictures,Triple 7 Films,Bron Studios",Samuel Goldwyn Films,3/11/16
10 Cloverfield Lane,"Spectrum Effects,Paramount,Bad Robot",Paramount Pictures,3/11/16
Eye in the Sky,"Raindog Films,Entertainment One Features",Bleecker Street Media,3/11/16
The Young Messiah,Focus Features,Focus Features,3/11/16
City of Gold,,IFC Films,3/11/16
Perfect Match,"Lionsgate,Jorva Entertainment Productions",Lionsgate Films,3/11/16
"Hello, My Name Is Doris","Red Crown Productions,Haven Entertainment",Roadside Attractions,3/11/16
Miracles From Heaven,"Roth Films,Franklin Entertainment,TDJ Enterprises",TriStar,3/17/16
Midnight Special,"Faliro House Productions,Tri-State Pictures,Warner Bros. Pictures",Warner Bros. Pictures,3/18/16
My Golden Days,"PROCIREP,Why Not Productions,France 2 Cinéma,Ciné+,Pictanovo Nord-Pas-de-Calais,Soficinéma 11,Cinémage 9,Angoa-Agicoa,Centre National de la Cinématographie,Canal+,France Télévisions",Magnolia Pictures,3/18/16
Krisha,Hoody Boy Productions,A24,3/18/16
Robinson Crusoe: The Wild Life,"uFilm,StudioCanal,nWave Pictures,Illuminata Pictures",Lionsgate,3/18/16
The Preppie Connection,Coalitions Films,IFC Films,3/18/16
Gold,"Living Films,Black Bear Pictures,Boies/Schiller Film Group,Hwy61,The Weinstein Company",Weinstein Company,3/18/16
Kubo and the Two Strings,"Focus Features,Laika Entertainment",Focus Features,3/18/16
Allegiant,"Mandeville Films,Summit Entertainment,Lionsgate,Red Wagon Entertainment",Lionsgate,3/18/16
My Big Fat Greek Wedding 2,"Universal Pictures,Gold Circle Films,HBO Films,Playtone",Universal Pictures,3/25/16
Born to Be Blue,"Lumanity Production,New Real Films,Hideaway Pictures",IFC Films,3/25/16
Batman v Superman: Dawn of Justice,"RatPac-Dune Entertainment,Atlas Entertainment,Cruel & Unusual Films,DC Comics,DC Entertainment,Warner Bros. Pictures",Warner Bros. Pictures,3/25/16
Everybody Wants Some!!,Annapurna Pictures,Paramount Pictures,3/30/16
Meet the Blacks,"Hidden Empire Film,Freestyle Releasing",Freestyle Releasing,4/1/16
God's Not Dead 2,Pure Flix Productions,Pure Flix,4/1/16
Hardcore Henry,"Huayi Brothers Media,Bazelevs Production,Versus Pictures,Universal Pictures,STX Entertainment",STX Films,4/8/16
The Boss,"Universal Pictures,On the Day",Universal Pictures,4/8/16
